;Unnamed: 0;en;no;initial_translation;finetuned_translation;initial_translation_bleu;finetuned_translation_bleu;google_translate;google_translation_bleu
0;0;This is because the right side is displaced forward by the hanger bracket.;Dette skyldes at høyre side forskyves fremover av girøre braketten.;Dette skyldes at den høyre siden er forskjøvet fremover av hengerbraketten.;Dette skyldes at den høyre siden er forskjøvet fremover av girøret.;8.2;8.2;Dette er fordi høyre side er forskjøvet fremover av opphengsbraketten.;8.5
1;1;Add headset spacers under the upper plate as necessary.;Legg styrelager spacere under den øvre platen etter behov.;Legg hodesettet avstandsstykker under den øvre platen etter behov.;Legg styrelager spacere under den øvre platen om nødvendig.;47.0;39.6;Legg til hodesettavstandsstykker under den øvre platen etter behov.;47.0
2;2;Repeat impacting the BBT-30.4 driver until one bearing cup is fully out.;Fortsett å bruk BBT-30.4 til en lagerskålene er helt ute.;Gjenta å påvirke BBT-30.4 driveren til en lagerkopp er helt ut.;Gjennsett slagene på BBT-30,4 driveren til en lagerskål er helt tom.;8.5;7.9;Gjenta støt på BBT-30.4-driveren til en lagerskål er helt ute.;18.9
3;3;Impacts to the side of the rim from falling down or crashing can also cause damage.;Påvirkning på siden av felgen fra fall eller krasj kan også forårsake skade.;Virkninger på siden av felgen fra å falle ned eller krasje kan også forårsake skade.;Virkninger på siden av felgen fra å falle ned eller krasje kan også forårsake skade.;38.8;38.8;Støt på siden av felgen fra fall ned eller krasje kan også forårsake skade.;47.6
4;4;Check the dish reference on both sides, and repeat as necessary until the wheel shows a 1mm or less gap at the hub.;Kontroller sentreringsreferansen på begge sider, og gjenta om nødvendig til hjulet viser en 1 mm eller mindre gap på navet.;Kontroller tallerkenreferansen på begge sider, og gjenta etter behov til hjulet viser en 1 mm eller mindre gap ved navet.;Sjekk sentreringsreferansen på begge sider, og gjenta om nødvendig til hjulet viser et gap på 1 mm eller mindre ved navet.;52.8;57.2;Sjekk tallerkenreferansen på begge sider, og gjenta etter behov til hjulet viser en åpning på 1 mm eller mindre ved navet.;38.8
5;5;It is also recommended to wear protective gloves such as the MG-2, and use eye protection.;Det anbefales også å bruke beskyttelseshansker som MG-2, og bruke øyebeskyttelse.;Det anbefales også å bruke beskyttelseshansker som MG-2, og bruke øyebeskyttelse.;Det anbefales også å bruke beskyttelseshansker som MG-2, og bruke øyebeskyttelse.;72.2;72.2;Det anbefales også å bruke vernehansker som MG-2, og bruk øyevern.;31.5
6;6;It is the habit of many mechanics to put the thread-locking compound on the external thread.;Det er en vane blant mange mekanikere å påføre gjengelås på de utvendige gjengene.;Det er en vane for mange mekanikere å sette trådlåseforbindelsen på den eksterne tråden.;Det er en vane for mange mekanikere å sette gjengelåsingen på den utvendige gjengen.;14.4;14.9;Det er en vane for mange mekanikere å sette den gjengelåsende blandingen på den ytre gjengen.;12.9
7;7;The design is a variation of the cantilever brake.;Designet er en variant av cantilever brems.;Utformingen er en variant av cantileverbremsen.;Konstruksjonen er en variant av cantilever brems.;27.8;57.1;Designet er en variant av utkragerbremsen.;27.8
8;8;Pick up the front of the bike, and gently swing the handlebars back and forth from center.;Plukk opp forsiden av sykkelen, og forsiktig sving styret frem og tilbake fra sentrum.;Plukk opp forsiden av sykkelen, og forsiktig svinge styret frem og tilbake fra midten.;Plukk opp forsiden av sykkelen, og forsiktig sving styret frem og tilbake fra sentrum.;50.9;77.0;Ta opp fronten av sykkelen, og sving styret forsiktig frem og tilbake fra midten.;29.7
9;9;Avid disc caliper brakes use a ball-and-socket system for the caliper mounting bolts.;Avid skivebrems kalipper bruker et ball-and-socket system for monteringsboltene til kalipperen.;Avid skivekaliperbremser bruker et kule-og-socket-system for kalibermonteringsboltene.;Avid skivebremser bruker et kulelager system for monteringsbolter.;8.1;10.1;Avid skive caliper bremser bruker et kule-og-socket system for caliper monteringsbolter.;7.9
10;10;The right image is the extreme inward motion of the cleat, or more duck footed.;Det høyre bildet er den ekstreme innoverbevegelsen til cleats, eller mer kalvbeint.;Det høyre bildet er den ekstreme innoverbevegelsen til klossen, eller mer andefot.;Høyre bilde er den ekstreme innovergående bevegelse av cleats, eller mer duck fot.;43.9;20.1;Det høyre bildet er den ekstreme innovergående bevegelsen til klossen, eller mer andefot.;28.4
11;11;Use a chain cleaner such as the Park Tool CM-5.3 Cyclone Chain Scrubber.;Bruk en kjederenser som Park Tool CM-5.3 Cyclone Chain Scrubber.;Bruk en kjederenser som Park Tool CM-5.3 Cyclone Chain Scrubber.;Bruk en kjede rengjøringsmiddel som Park Tool CM-5.3 Cyclone Chain Scrubber.;67.7;49.0;Bruk en kjederenser som Park Tool CM-5.3 Cyclone Chain Scrubber.;67.7
12;12;The next objective is to evenly draw up tension in the wheel.;Det neste målet er å jevnt trekke opp spenning i hjulet.;Det neste målet er å jevnt trekke opp spenningen i hjulet.;Det neste målet er å jevnt trekke opp spenningen i hjulet.;49.2;49.2;Det neste målet er å jevnt trekke opp spenningen i hjulet.;49.2
13;13;It will be necessary to very carefully use a seal pick to remove the inner bushing.;Det vil være nødvendig å bruke et pirkeverktøy for å fjerne den indre foringen.;Det vil være nødvendig å veldig nøye bruke en tetningsplukk for å fjerne den indre bøssingen.;Det vil være nødvendig å veldig nøye bruke et pirkeverktøy for å fjerne den indre foringen.;31.6;58.3;Det vil være nødvendig å bruke en tetningsplugg veldig nøye for å fjerne den indre bøssingen.;36.7
14;14;If it doesnt go in, your chain is not yet 0.5 percent worn.;Hvis det ikke går inn, er kjedet ennå ikke 0,5 prosent slitt.;Hvis det ikke går inn, er kjeden din ennå ikke 0,5 prosent slitt.;Hvis den ikke går inn, er ikke kjedet ditt 0,5 prosent slitt ennå.;52.9;29.8;Hvis den ikke går inn, er kjeden din ennå ikke 0,5 prosent slitt.;46.6
15;15;The tension on the chain should be set so you can pull it about 1 away from the upright when the carriage is around 5 feet off the ground.;Spenningen på kjedet bør settes slik at du kan trekke den ca 1 bort fra oppreist når vognen er rundt 5 meter fra bakken.;Spenningen på kjeden skal settes slik at du kan trekke den omtrent 1 bort fra oppreist når vognen er rundt 5 meter fra bakken.;Strammingen på kjedet bør settes slik at du kan trekke den ca 1 unna oppreist når vognen er ca 5 fot fra bakken.;64.4;56.1;Spenningen på kjedet bør stilles inn slik at du kan trekke den ca. 1 vekk fra stående når vognen er rundt 5 fot fra bakken.;40.0
16;16;Expoy or hard glue would tend to shatter when impacted rather than yield during a shock.;Expoy eller hardt lim ville ha en tendens til å knuse når det blir påvirket i stedet for å gi under et sjokk.;Expoy eller hardt lim ville ha en tendens til å knuse når det blir påvirket i stedet for å gi under et sjokk.;Eksponert eller hardt lim ville ha en tendens til å knuses når det treffes i stedet for å gi etter under et sjokk.;84.3;53.5;Expoy eller hardt lim ville ha en tendens til å knuse når det påvirkes i stedet for å gi etter under et sjokk.;63.4
